trade_uuid,symbol,entry_time,decile,aggression,vol_z,cascade_strength,atr_pct,hour,ret_5d,liq_imb,breakout_distance_pct,imb_z,n_confirmations,conf_breakout,conf_imb,conf_vol,conf_body,conf_impulse,conf_momentum,pnl_r,exit_reason,bars_held,exit_r_full,exit_r_scale,scaled_at_b3
41f8f976-cd93-470a-8837-608c6956196e,1000LUNCUSDT,2026-02-01T17:54:59.999000+00:00,7,79.6,3.6896,1.1294,1.113,17,-2.8421,0.4018,0.9158,1.2729,5,1,0,1,1,1,1,0.3138,vol_trail,9,0.3138,0.07845,False
7b0547f3-9031-4848-b90d-5dfcca233f54,1000LUNCUSDT,2026-02-02T15:14:59.999000+00:00,1,56.6,-0.1302,0.2821,0.6772,15,-2.374,0.7412,-1.1974,2.122,4,0,1,0,1,1,1,0.225,vol_trail,27,0.225,0.05625,False
a6383e53-62e9-48d4-b611-f4b4475d8ce6,NMRUSDT,2026-02-02T21:59:59.999000+00:00,1,53.3,-0.0012,0.3733,0.711,21,3.4409,-0.6069,-1.7616,2.1796,4,0,1,0,1,1,1,-1.0,stop_loss,21,-1.0,-0.25,False
496289d2-57df-401a-8dc6-bb3a6cfce5a4,WLDUSDT,2026-02-06T21:19:59.999000+00:00,1,57.6,-0.5053,0.5442,0.6099,21,3.3955,0.3366,-1.8357,2.798,4,0,1,0,1,1,1,-1.0,stop_loss,38,-1.0,-0.25,False
ffaadfee-5e18-4a36-92bd-58d9542b24d5,QNTUSDT,2026-02-07T18:29:59.999000+00:00,1,61.2,-0.0953,0.2347,0.4316,18,-4.0059,0.4366,-0.5113,2.5175,4,0,1,0,1,1,1,0.3557,vol_trail,46,0.3557,0.088925,False
68a2386a-fb48-4928-867a-c8da1fa6e1e8,BNBUSDT,2026-02-13T14:29:59.999000+00:00,2,68.6,3.9489,0.3344,0.3384,14,-3.2617,-0.3621,-0.7971,-0.6278,4,0,0,1,1,1,1,3.0652,vol_trail,46,3.0652,0.7663,False
2e822957-b7ca-453f-bf12-67684380aaa6,UNIUSDT,2026-02-13T14:34:59.999000+00:00,7,79.4,6.184,0.2262,0.6066,14,-1.9913,-0.5242,0.7969,0.5848,5,1,0,1,1,1,1,0.7097,vol_trail,37,0.7097,0.177425,False
92f549ed-7663-4058-a2d4-c99debe64af3,UNIUSDT,2026-02-13T21:09:59.999000+00:00,1,62.8,-0.6325,0.2262,0.2696,21,-1.9913,-0.5242,-1.4028,2.1923,4,0,1,0,1,1,1,-1.0,stop_loss,5,-1.0,-0.25,False
c686d92d-a356-4029-8de0-9c8ccaff7f38,TAOUSDT,2026-02-14T16:59:59.999000+00:00,2,67.9,-0.0335,2.0487,0.5532,16,19.8743,0.1549,-1.5692,2.4163,4,0,1,0,1,1,1,-1.0,stop_loss,6,-1.0,-0.25,False
34e30efb-0796-4beb-81c9-f05fa545af13,ZECUSDT,2026-02-14T21:14:59.999000+00:00,7,80.1,5.1902,1.7203,1.0406,21,34.6503,-0.7573,2.7539,0.9015,5,1,0,1,1,1,1,-1.0,stop_loss,41,-1.0,-0.25,False
cf4ce702-aa1e-494b-b91e-962543b445f2,XRPUSDT,2026-02-17T16:04:59.999000+00:00,5,75.8,4.0593,0.4051,0.5956,16,8.1089,0.5485,1.0256,0.7942,5,1,0,1,1,1,1,0.0013,vol_trail,20,0.0013,0.000325,False
694c4c85-0998-46aa-ba9a-8a5b853a9953,DOTUSDT,2026-02-23T21:14:59.999000+00:00,1,55.8,-0.8179,1.0062,0.3543,21,-3.5115,0.8997,-0.936,2.8379,4,0,1,0,1,1,1,-1.0,stop_loss,49,-1.0,-0.25,False
17467fc6-d92e-44e1-a002-f0f104aada94,ARBUSDT,2026-02-25T14:49:59.999000+00:00,9,84.2,2.6714,0.9905,0.5795,14,3.9216,-0.2348,1.0246,0.7536,4,1,0,0,1,1,1,0.015,vol_trail,4,0.015,0.00375,False
fe89d377-68e9-44b7-a6f6-489da71c2b9c,APTUSDT,2026-02-25T15:04:59.999000+00:00,1,64.2,3.5574,1.7658,0.66,15,13.779,-0.4616,0.293,-0.0936,4,1,0,1,0,1,1,4.067,vol_trail,35,4.067,1.01675,False
27f841d0-fb47-486b-8cf3-a86bb36b0d18,DOTUSDT,2026-02-25T17:49:59.999000+00:00,6,77.5,1.1281,3.7964,0.877,17,24.0299,-0.7379,0.9634,0.8365,4,1,0,0,1,1,1,0.5181,vol_trail,24,0.5181,0.129525,False
59ba4f83-7c49-4d98-b6de-20759d644748,ARBUSDT,2026-02-25T19:59:59.999000+00:00,5,76.0,1.1259,0.9905,0.4721,19,3.9216,-0.2348,0.578,1.3182,4,1,0,0,1,1,1,0.8812,vol_trail,20,0.8812,0.2203,False
42447abb-172c-4f9e-bd9a-606d7a2751b8,APTUSDT,2026-02-26T15:29:59.999000+00:00,2,70.1,3.2342,0.8781,0.6706,15,9.0159,0.7657,0.1032,1.1357,4,1,0,1,0,1,1,0.036,vol_trail,4,0.036,0.009,False
